set,n_rows,n_scored,mean_k,median_k,p90_k,p95_k,p99_k,max_k,n_ge_450k,frac_ge_450k,n_ge_475k,frac_ge_475k,n_ge_500k,frac_ge_500k
unfiltered_vae_pool,512,453,355.8881084113721,349.9996032714844,431.8350219726563,452.57359008789064,496.66092773437504,549.0863037109375,24,0.052980132450331126,12,0.026490066225165563,4,0.008830022075055188
triaged_candidates,21,21,400.9053431904762,398.214386,475.955994,476.740265,489.17810660000004,492.287567,5,0.23809523809523808,3,0.14285714285714285,0,0.0
