PSMILES,Tg
[*]Oc1ccc2nc(-c3ccccc3)c(-c3ccc(-c4ccc(-c5nc6cc([*])ccc6nc5-c5ccccc5)cc4)cc3)nc2c1,683.15
[*]c1cccc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1,683.15
[*]c1ccc2nc(-c3ccc(C4(c5ccc(-c6cc(-c7ccccc7)c7cc(C8([*])c9ccccc9C(=O)c9ccccc98)ccc7n6)cc5)c5ccccc5-c5ccccc54)cc3)cc(-c3ccccc3)c2c1,678.15
[*]c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4ccc(-c5c(-c6ccccc6)nc6ccc([*])cc6c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c2c1,678.15
[*]c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4cccc([*])c4C3=O)cc1)C2=O,678.15
[*]c1ccc2nc(-c3ccc(-c4ccc(-c5nc6ccc([*])cc6nc5-c5ccccc5)cc4)cc3)c(-c3ccccc3)nc2c1,677.15
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,677.15
[*]c1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4c(C)cc([*])c6ccccc46)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c2ccccc12,676.15
[*]c1ccc2cc(-c3nc4ccc(-c5ccc6nc([*])[nH]c6c5)cc4[nH]3)ccc2c1,676.15
[*]Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C([*])=O)cc4)cc3)c3ccccc3C(=O)c3ccccc32)cc1,673.15
[*]c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(c3ccccc3)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*])C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,673.15
[*]c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(c3ccccc3)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*])C4=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,673.15
[*]c1ccc(-c2nc3ccc(-c4ccc5nc([*])c(-c6ccccc6)c(-c6ccccc6)c5c4)cc3c(-c3ccccc3)c2-c2ccccc2)cc1,673.15
[*]c1ccc(Oc2ccc(-c3nc4cc5sc(-c6ccc(Oc7ccc(-n8c(=O)c9cc%10c(=O)n([*])c(=O)c%10cc9c8=O)cc7)cc6)nc5cc4s3)cc2)cc1,673.15
[*]c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,673.15
[*]c1cccc(Oc2ccc(-c3nc4cc5sc(-c6ccc(Oc7cccc(-n8c(=O)c9cc%10c(=O)n([*])c(=O)c%10cc9c8=O)c7)cc6)nc5cc4s3)cc2)c1,673.15
[*]c1c(C)cc(C)c(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1C,672.9
[*]c1ccc(-c2ccc(N3C(=O)c4c(c(-c5ccccc5)c(-c5ccc(Oc6ccc(-c7c(-c8ccccc8)c8c(c(-c9ccccc9)c7-c7ccccc7)C(=O)N([*])C8=O)cc6)cc5)c(-c5ccccc5)c4-c4ccccc4)C3=O)cc2)cc1,672.15
[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(Oc6c(C(C)(C)C)cc([*])cc6C(C)(C)C)cc5)c(=O)c4cc3c2=O)cc1,671.65
[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2F)c(F)c1,671.15
[*]c1ccc2[nH]c([*])nc2c1,671.15
[*]c1ccc2c(c1)C(=O)N(c1ccc(-c3nc4cc(N5C(=O)c6ccc([*])cc6C5=O)ccc4[nH]3)cc1)C2=O,670.65
[*]c1cccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)c1,670.15
[*]Oc1cccc(Oc2ccc3c4c2cccc4c(=O)n2c4ccc(-c5ccc6nc7c8cccc9c([*])ccc(c(=O)n7c6c5)c98)cc4nc32)c1,669.65
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c6c4cccc6c(=O)n4c6ccc(Oc7ccc8nc9c%10cccc%11c([*])ccc(c(=O)n9c8c7)c%11%10)cc6nc54)cc3)c3ccccc3-c3ccccc32)cc1,669.15
[*]Nc1ccc(-c2ccc(NC(=O)c3cccc(C([*])=O)c3)c(S)c2)cc1S,668.15
[*]c1ccc(-c2cc(-c3ccccc3)c3cc(-c4ccc5nc([*])cc(-c6ccccc6)c5c4)ccc3n2)cc1,668.15
[*]c1ccc(-c2nc3cc4nc(-c5ccccc5)c([*])nc4cc3nc2-c2ccccc2)cc1,668.15
[*]c1ccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,668.15
[*]c1ccc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1,668.15
[*]c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C(c2ccccc2)(C(F)(F)F)c2cc3c(cc2O4)C(=O)N([*])C3=O)c(C)c1C,667.15
[*]c1ccc2c(c1)C(=O)N(c1ccc3c(c1)-c1cc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc1C3)C2=O,667.15
[*]c1ccc2c(c1)C(=O)N(c1ccc3c(c1)Cc1cc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc1-3)C2=O,667.15
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc([*])nc5cc4n3)cc2)cc1,665.15
[*]c1ccc(-c2cnc3cc4nc([*])cnc4cc3n2)cc1,665.15
[*]c1ccc(-c2cnc3cc4ncc([*])nc4cc3n2)cc1,665.15
[*]c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(S([*])(=O)=O)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,665.15
[*]c1ccc2nc(-c3ccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1,664.65
[*]Nc1cccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C([*])=O)cc5)c(=O)c4cc3c2=O)c1,663.15
[*]c1ccc(-c2cc(-c3ccccc3)c3cc(C4(c5ccc6nc(-c7ccc(C8([*])c9ccccc9C(=O)c9ccccc98)cc7)cc(-c7ccccc7)c6c5)c5ccccc5C(=O)c5ccccc54)ccc3n2)cc1,663.15
[*]c1ccc(-c2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,663.15
[*]c1ccc(C2(c3ccc(-c4cc(-c5ccccc5)c5cc(C6(c7ccc8nc([*])cc(-c9ccccc9)c8c7)c7ccccc7-c7ccccc76)ccc5n4)cc3)c3ccccc3-c3ccccc32)cc1,663.15
[*]c1ccc2c(c1)C(=O)N(c1cccc3c(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)cccc13)C2=O,663.15
[*]C(=O)c1ccc(Oc2ccc3c(=O)n4c5cc(-c6ccc7c(c6)nc6c8ccc(Oc9ccc([*])cc9)c9cccc(c(=O)n76)c98)ccc5nc4c4cccc2c34)cc1,662.15
[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6c(C(C)(C)C)cc([*])cc6C(C)(C)C)c(C(F)(F)F)c4)C5=O)cc3C2=O)cc1,662.15
[*]c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,661.15
[*]Nc1ccc(-c2ccc(NC(=O)c3cccc(C([*])=O)c3)c(O)c2)cc1O,659.15
[*]Oc1ccc(Sc2ccc(Oc3ccc4c(=O)n5c6cc(-c7ccc8c(c7)nc7c9ccc([*])c%10cccc(c(=O)n87)c%109)ccc6nc5c5cccc3c45)cc2)cc1,659.15
[*]c1ccccc1Oc1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)cc1,659.15
[*]c1ccccc1Oc1ccc(N2Cc3cc4c(cc3C2=O)C(=O)N([*])C4=O)cc1,659.15
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,658.15
[*]c1c(CC)cc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1CC,658.15
[*]c1ccc(-c2cc(-c3ccccc3)c3cc(C4(c5ccc6nc(-c7ccc(C8([*])c9ccccc9C(=O)c9ccccc98)cc7)cc(-c7ccccc7)c6c5)c5ccccc5-c5ccccc54)ccc3n2)cc1,658.15
[*]c1ccc(-c2ccc(-n3c(=O)c4c(C(F)(F)F)c5c(=O)n([*])c(=O)c5c(C(F)(F)F)c4c3=O)cc2C)c(C)c1,658.15
[*]c1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,658.15
[*]c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,658.15
[*]c1c(C)ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,657.15
[*]c1ccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(c4ccc([*])cc4C)C5=O)cc3C2=O)c(C)c1,657.15
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5nc([*])cc(-c6ccccc6)c5cc4n3)cc2)cc1,656.15
[*]c1ccc(-c2ccc3nc([*])cc(-c4ccccc4)c3c2)cc1,656.15
[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,655.15
[*]c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,655.15
[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6c(C(C)(C)C)cc([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,654.65
[*]c1cc2c(cc1-c1ccc(C(C)(C)C)cc1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5cc([*])c(-c6ccc(C(C)(C)C)cc6)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,654.15
[*]c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc([*])nc5cc4n3)cc2)cc1,653.65
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc(C5(c6ccc7nc([*])cc(-c8ccccc8)c7c6)c6ccccc6-c6ccccc65)ccc4n3)cc2)cc1,653.15
[*]c1ccc(-c2nnc(-c3ccc(C4([*])OC(=O)c5ccccc54)cc3)o2)cc1,653.15
[*]c1ccc(Oc2ccc3c4c2cccc4c(=O)n2c4ccc(-c5ccc6nc7c8cccc9c(Oc%10ccc(C([*])(C)C)cc%10)ccc(c(=O)n7c6c5)c98)cc4nc32)cc1,653.15
[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,652.15
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(Sc4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C,651.15
[*]c1ccc(C(=O)Nc2ccc(C(=O)Nc3cccc4c(NC(=O)c5ccc(NC(=O)c6ccc([Si]([*])(C)C)cc6)cc5)cccc34)cc2)cc1,651.15
[*]c1c(C)cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N([*])C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,650.15
[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,649.15
