run_id,low_cutoff_k,high_cutoff_k,n_low,n_high,a_low,b_low,a_high,b_high,tg_k
3,290.0,530.0,10,9,-0.00021845856697,1.28310425302,-0.0004545870275,1.39544054005,475.742258
3,300.0,490.0,10,11,-0.00021845856697,1.28310425302,-0.000419999406818,1.37320319009,447.050519
3,300.0,500.0,10,10,-0.00021845856697,1.28310425302,-0.000439396119091,1.38561708595,463.990082
3,300.0,510.0,10,10,-0.00021845856697,1.28310425302,-0.000439396119091,1.38561708595,463.990082
3,300.0,520.0,10,9,-0.00021845856697,1.28310425302,-0.0004545870275,1.39544054005,475.742258
3,300.0,530.0,10,9,-0.00021845856697,1.28310425302,-0.0004545870275,1.39544054005,475.742258
3,310.0,490.0,11,11,-0.000222444446364,1.28374199373,-0.000419999406818,1.37320319009,452.842066
3,310.0,500.0,11,10,-0.000222444446364,1.28374199373,-0.000439396119091,1.38561708595,469.575048
3,310.0,510.0,11,10,-0.000222444446364,1.28374199373,-0.000439396119091,1.38561708595,469.575048
3,310.0,520.0,11,9,-0.000222444446364,1.28374199373,-0.0004545870275,1.39544054005,481.163541
3,310.0,530.0,11,9,-0.000222444446364,1.28374199373,-0.0004545870275,1.39544054005,481.163541
3,320.0,490.0,11,11,-0.000222444446364,1.28374199373,-0.000419999406818,1.37320319009,452.842066
3,320.0,500.0,11,10,-0.000222444446364,1.28374199373,-0.000439396119091,1.38561708595,469.575048
3,320.0,510.0,11,10,-0.000222444446364,1.28374199373,-0.000439396119091,1.38561708595,469.575048
3,320.0,520.0,11,9,-0.000222444446364,1.28374199373,-0.0004545870275,1.39544054005,481.163541
3,320.0,530.0,11,9,-0.000222444446364,1.28374199373,-0.0004545870275,1.39544054005,481.163541
3,330.0,490.0,12,11,-0.000228263369231,1.28471181421,-0.000419999406818,1.37320319009,461.527092
3,330.0,500.0,12,10,-0.000228263369231,1.28471181421,-0.000439396119091,1.38561708595,477.923353
3,330.0,510.0,12,10,-0.000228263369231,1.28471181421,-0.000439396119091,1.38561708595,477.923353
3,330.0,520.0,12,9,-0.000228263369231,1.28471181421,-0.0004545870275,1.39544054005,489.249452
3,330.0,530.0,12,9,-0.000228263369231,1.28471181421,-0.0004545870275,1.39544054005,489.249452
4,290.0,490.0,10,11,-0.00019660936303,1.31757091358,-0.000552574118636,1.47863361973,452.468127
4,290.0,500.0,10,10,-0.00019660936303,1.31757091358,-0.0005804713,1.4964878158,466.097013
4,290.0,510.0,10,10,-0.00019660936303,1.31757091358,-0.0005804713,1.4964878158,466.097013
4,290.0,520.0,10,9,-0.00019660936303,1.31757091358,-0.0005972347575,1.50732818498,473.652629
4,290.0,530.0,10,9,-0.00019660936303,1.31757091358,-0.0005972347575,1.50732818498,473.652629
4,300.0,490.0,10,11,-0.00019660936303,1.31757091358,-0.000552574118636,1.47863361973,452.468127
4,300.0,500.0,10,10,-0.00019660936303,1.31757091358,-0.0005804713,1.4964878158,466.097013
4,300.0,510.0,10,10,-0.00019660936303,1.31757091358,-0.0005804713,1.4964878158,466.097013
4,300.0,520.0,10,9,-0.00019660936303,1.31757091358,-0.0005972347575,1.50732818498,473.652629
4,300.0,530.0,10,9,-0.00019660936303,1.31757091358,-0.0005972347575,1.50732818498,473.652629
4,310.0,490.0,11,11,-0.000193686037273,1.31710318145,-0.000552574118636,1.47863361973,450.085825
4,310.0,500.0,11,10,-0.000193686037273,1.31710318145,-0.0005804713,1.4964878158,463.783530
4,310.0,510.0,11,10,-0.000193686037273,1.31710318145,-0.0005804713,1.4964878158,463.783530
4,310.0,520.0,11,9,-0.000193686037273,1.31710318145,-0.0005972347575,1.50732818498,471.380515
4,310.0,530.0,11,9,-0.000193686037273,1.31710318145,-0.0005972347575,1.50732818498,471.380515
4,320.0,490.0,11,11,-0.000193686037273,1.31710318145,-0.000552574118636,1.47863361973,450.085825
4,320.0,500.0,11,10,-0.000193686037273,1.31710318145,-0.0005804713,1.4964878158,463.783530
4,320.0,510.0,11,10,-0.000193686037273,1.31710318145,-0.0005804713,1.4964878158,463.783530
4,320.0,520.0,11,9,-0.000193686037273,1.31710318145,-0.0005972347575,1.50732818498,471.380515
4,320.0,530.0,11,9,-0.000193686037273,1.31710318145,-0.0005972347575,1.50732818498,471.380515
4,330.0,490.0,12,11,-0.000195892055594,1.31747085117,-0.000552574118636,1.47863361973,451.838725
4,330.0,500.0,12,10,-0.000195892055594,1.31747085117,-0.0005804713,1.4964878158,465.487847
4,330.0,510.0,12,10,-0.000195892055594,1.31747085117,-0.0005804713,1.4964878158,465.487847
4,330.0,520.0,12,9,-0.000195892055594,1.31747085117,-0.0005972347575,1.50732818498,473.055404
4,330.0,530.0,12,9,-0.000195892055594,1.31747085117,-0.0005972347575,1.50732818498,473.055404
5,290.0,490.0,10,11,-0.000258097963939,1.35267590685,-0.00069344038,1.53035711127,408.141265
5,290.0,500.0,10,10,-0.000258097963939,1.35267590685,-0.000703881327576,1.53703931772,413.571761
5,290.0,510.0,10,10,-0.000258097963939,1.35267590685,-0.000703881327576,1.53703931772,413.571761
5,290.0,520.0,10,9,-0.000258097963939,1.35267590685,-0.000715605220833,1.54462076869,419.544956
5,290.0,530.0,10,9,-0.000258097963939,1.35267590685,-0.000715605220833,1.54462076869,419.544956
5,300.0,490.0,10,11,-0.000258097963939,1.35267590685,-0.00069344038,1.53035711127,408.141265
5,300.0,500.0,10,10,-0.000258097963939,1.35267590685,-0.000703881327576,1.53703931772,413.571761
5,300.0,510.0,10,10,-0.000258097963939,1.35267590685,-0.000703881327576,1.53703931772,413.571761
5,300.0,520.0,10,9,-0.000258097963939,1.35267590685,-0.000715605220833,1.54462076869,419.544956
5,300.0,530.0,10,9,-0.000258097963939,1.35267590685,-0.000715605220833,1.54462076869,419.544956
5,310.0,490.0,11,11,-0.000261442629091,1.35321105327,-0.00069344038,1.53035711127,410.062454
5,310.0,500.0,11,10,-0.000261442629091,1.35321105327,-0.000703881327576,1.53703931772,415.488666
5,310.0,510.0,11,10,-0.000261442629091,1.35321105327,-0.000703881327576,1.53703931772,415.488666
5,310.0,520.0,11,9,-0.000261442629091,1.35321105327,-0.000715605220833,1.54462076869,421.456366
5,310.0,530.0,11,9,-0.000261442629091,1.35321105327,-0.000715605220833,1.54462076869,421.456366
5,320.0,490.0,11,11,-0.000261442629091,1.35321105327,-0.00069344038,1.53035711127,410.062454
5,320.0,500.0,11,10,-0.000261442629091,1.35321105327,-0.000703881327576,1.53703931772,415.488666
