Test id,Δ /K,relative deviation %,delta_group,MD Tg /K,Multimodal Prediction  Tg /K,Unimodal Prediction Tg /K,graph_mean,graph_model_uncertainty_k,multi_mean,multi_model_uncertainty_k,md_tg_from_curve_k,md_window_uncertainty_k,graph_abs_error_k,multi_abs_error_k,branch_delta_k,abs_graph_multi_ensemble_delta_k,successful_candidate
8,0.101,5.760672099,low_delta,411.1,387.417877,387.3169556,378.78419494628906,7.254949908839088,381.9057678222656,4.362368731107712,411.116368,8.93146,32.31580505371096,29.19423217773442,0.101,3.12157287597654,False
10,3.15,17.5830998,mid_delta,408.8,336.920288,333.7706299,347.64475402832034,10.582186468891493,324.2220886230469,6.394563140208988,408.797102,7.690396,61.15524597167968,84.57791137695312,3.15,23.42266540527345,False
21,0.134,4.751652191,low_delta,499.7,475.955994,475.8215027,455.2176452636719,26.40533117190912,425.99583435058594,7.771785847548449,499.700842,6.316042,44.48235473632809,73.70416564941405,0.134,29.22181091308596,True
6,2.054,7.164661707,low_delta,430.1,399.28479,397.2309265,424.8231842041015,19.869533259803045,405.12061462402346,9.1117579431796,430.116367,4.746339,5.276815795898528,24.97938537597656,2.054,19.70256958007803,False
13,6.997,15.53553566,high_delta,415.0,350.527527,343.5310059,355.19463500976565,18.76411818521205,352.78041076660156,9.920214244653096,415.044172,3.496503,59.80536499023435,62.21958923339844,6.997,2.4142242431640852,False
7,1.733,5.762147144,low_delta,413.2,389.390808,387.6582642,391.42967529296874,20.748279979985387,404.4318450927734,9.997751602465282,413.234716,5.500522,21.77032470703125,8.768154907226574,1.733,13.002169799804676,False
14,1.75,12.55198177,low_delta,389.4,340.522583,342.2723999,320.6334289550781,22.715321848757828,317.7707580566406,11.222666548648869,389.420546,10.8342,68.76657104492188,71.62924194335938,1.75,2.8626708984375,False
