T(K),density(g/cm^3)
6.600000000000000000e+02,1.146242615000000020e+00
6.400000000000000000e+02,1.152215345000000113e+00
6.200000000000000000e+02,1.178393314000000025e+00
6.000000000000000000e+02,1.196317008999999931e+00
5.800000000000000000e+02,1.200436795000000112e+00
5.600000000000000000e+02,1.209737547999999885e+00
5.400000000000000000e+02,1.222109327000000079e+00
5.200000000000000000e+02,1.236704870999999928e+00
5.000000000000000000e+02,1.245316832999999956e+00
4.800000000000000000e+02,1.255204843000000015e+00
4.600000000000000000e+02,1.262413083999999852e+00
4.400000000000000000e+02,1.274110056000000046e+00
4.200000000000000000e+02,1.283595741999999928e+00
4.000000000000000000e+02,1.282517687999999989e+00
3.800000000000000000e+02,1.291121375999999765e+00
3.600000000000000000e+02,1.298580870000000109e+00
3.400000000000000000e+02,1.303826357000000158e+00
3.200000000000000000e+02,1.309974697999999993e+00
3.000000000000000000e+02,1.316787697999999951e+00
2.800000000000000000e+02,1.319814547999999865e+00
2.600000000000000000e+02,1.326217591000000251e+00
2.400000000000000000e+02,1.333480680000000085e+00
