T(K),density(g/cm^3)
7.000000000000000000e+02,1.047610893999999959e+00
6.800000000000000000e+02,1.052169518000000137e+00
6.600000000000000000e+02,1.073512727000000000e+00
6.400000000000000000e+02,1.089242744000000096e+00
6.200000000000000000e+02,1.101649459000000109e+00
6.000000000000000000e+02,1.109495114000000004e+00
5.800000000000000000e+02,1.133067016000000038e+00
5.600000000000000000e+02,1.140731809000000041e+00
5.400000000000000000e+02,1.161030505000000046e+00
5.200000000000000000e+02,1.168207293000000035e+00
5.000000000000000000e+02,1.180504637000000079e+00
4.800000000000000000e+02,1.195774582000000086e+00
4.600000000000000000e+02,1.205682780000000065e+00
4.400000000000000000e+02,1.208721409999999885e+00
4.200000000000000000e+02,1.215520951999999877e+00
4.000000000000000000e+02,1.231903516999999892e+00
3.800000000000000000e+02,1.241336124999999901e+00
3.600000000000000000e+02,1.247162446000000147e+00
3.400000000000000000e+02,1.256301710000000016e+00
3.200000000000000000e+02,1.260412485000000027e+00
3.000000000000000000e+02,1.273774865000000034e+00
2.800000000000000000e+02,1.278086866999999849e+00
2.600000000000000000e+02,1.288274855999999913e+00
2.400000000000000000e+02,1.291762995999999886e+00
2.200000000000000000e+02,1.297122305000000031e+00
2.000000000000000000e+02,1.299594418000000084e+00
1.800000000000000000e+02,1.304326616000000216e+00
1.600000000000000000e+02,1.311621024999999996e+00
1.400000000000000000e+02,1.315912216000000079e+00
1.200000000000000000e+02,1.321795062000000298e+00
1.000000000000000000e+02,1.327876575999999975e+00
