T(K),density(g/cm^3)
7.000000000000000000e+02,8.907055352999999620e-01
6.800000000000000000e+02,9.054205040999999676e-01
6.600000000000000000e+02,9.237481671999999699e-01
6.400000000000000000e+02,9.370535874000001098e-01
6.200000000000000000e+02,9.601337521000000708e-01
6.000000000000000000e+02,9.613675123000000600e-01
5.800000000000000000e+02,9.837030843999999830e-01
5.600000000000000000e+02,1.001327424300000102e+00
5.400000000000000000e+02,1.028713041999999911e+00
5.200000000000000000e+02,1.036095194000000053e+00
5.000000000000000000e+02,1.040869768000000084e+00
4.800000000000000000e+02,1.051465914000000001e+00
4.600000000000000000e+02,1.069978206000000043e+00
4.400000000000000000e+02,1.081402382999999912e+00
4.200000000000000000e+02,1.089467031999999946e+00
4.000000000000000000e+02,1.094468696999999935e+00
3.800000000000000000e+02,1.103347993000000082e+00
3.600000000000000000e+02,1.112544616000000097e+00
3.400000000000000000e+02,1.122466753999999955e+00
3.200000000000000000e+02,1.135450489999999979e+00
3.000000000000000000e+02,1.144255710000000148e+00
2.800000000000000000e+02,1.149598104999999926e+00
2.600000000000000000e+02,1.155520113999999987e+00
2.400000000000000000e+02,1.158333021000000018e+00
2.200000000000000000e+02,1.165629874000000177e+00
2.000000000000000000e+02,1.170882272000000057e+00
1.800000000000000000e+02,1.176673075999999929e+00
1.600000000000000000e+02,1.181067721000000015e+00
1.400000000000000000e+02,1.185758097000000122e+00
1.200000000000000000e+02,1.191872899000000041e+00
1.000000000000000000e+02,1.196741668000000036e+00
