T(K),density(g/cm^3)
7.000000000000000000e+02,9.080420936999999970e-01
6.800000000000000000e+02,9.265481622000000250e-01
6.600000000000000000e+02,9.431619770000000402e-01
6.400000000000000000e+02,9.458921304000000863e-01
6.200000000000000000e+02,9.662223243999999989e-01
6.000000000000000000e+02,9.834176771999999511e-01
5.800000000000000000e+02,9.985450642000001098e-01
5.600000000000000000e+02,1.011649348700000006e+00
5.400000000000000000e+02,1.026629683000000126e+00
5.200000000000000000e+02,1.034618134999999883e+00
5.000000000000000000e+02,1.055802209999999963e+00
4.800000000000000000e+02,1.070619977000000000e+00
4.600000000000000000e+02,1.080351674999999956e+00
4.400000000000000000e+02,1.091397799999999974e+00
4.200000000000000000e+02,1.101033380999999922e+00
4.000000000000000000e+02,1.108988183000000127e+00
3.800000000000000000e+02,1.118148834999999952e+00
3.600000000000000000e+02,1.125964406000000029e+00
3.400000000000000000e+02,1.132882669000000009e+00
3.200000000000000000e+02,1.136510047999999884e+00
3.000000000000000000e+02,1.143331944000000044e+00
2.800000000000000000e+02,1.151092787999999922e+00
2.600000000000000000e+02,1.157509383999999919e+00
2.400000000000000000e+02,1.164807692999999977e+00
2.200000000000000000e+02,1.168220076000000107e+00
2.000000000000000000e+02,1.173766126000000076e+00
1.800000000000000000e+02,1.180835797000000076e+00
1.600000000000000000e+02,1.185556856999999908e+00
1.400000000000000000e+02,1.189810041999999957e+00
1.200000000000000000e+02,1.194417155000000008e+00
1.000000000000000000e+02,1.199108263000000063e+00
