T(K),density(g/cm^3)
5.600000000000000000e+02,9.708410542999998949e-01
5.400000000000000000e+02,9.940818259000000490e-01
5.200000000000000000e+02,1.002144779400000019e+00
5.000000000000000000e+02,1.011869698599999978e+00
4.800000000000000000e+02,1.029047183999999948e+00
4.600000000000000000e+02,1.040893909000000006e+00
4.400000000000000000e+02,1.045802920999999941e+00
4.200000000000000000e+02,1.065146758000000027e+00
4.000000000000000000e+02,1.076728160000000045e+00
3.800000000000000000e+02,1.082039269000000026e+00
3.600000000000000000e+02,1.091616727999999981e+00
3.400000000000000000e+02,1.100792449000000062e+00
3.200000000000000000e+02,1.108071387999999935e+00
3.000000000000000000e+02,1.112894803999999960e+00
2.800000000000000000e+02,1.118138327999999904e+00
2.600000000000000000e+02,1.125414270999999911e+00
2.400000000000000000e+02,1.128482951999999928e+00
2.200000000000000000e+02,1.136850950999999998e+00
2.000000000000000000e+02,1.142427026000000012e+00
1.800000000000000000e+02,1.146228658000000067e+00
1.600000000000000000e+02,1.151865611000000067e+00
1.400000000000000000e+02,1.154838262000000171e+00
