T(K),density(g/cm^3)
7.000000000000000000e+02,8.907391097999999285e-01
6.800000000000000000e+02,9.202141211000000043e-01
6.600000000000000000e+02,9.387064956999999765e-01
6.400000000000000000e+02,9.448158912999999881e-01
6.200000000000000000e+02,9.604569322999999548e-01
6.000000000000000000e+02,9.795119471999998995e-01
5.800000000000000000e+02,9.998208415000000571e-01
5.600000000000000000e+02,1.000357095599999857e+00
5.400000000000000000e+02,1.016225504500000154e+00
5.200000000000000000e+02,1.028465520000000133e+00
5.000000000000000000e+02,1.042006822999999915e+00
4.800000000000000000e+02,1.059716160000000018e+00
4.600000000000000000e+02,1.071959603000000039e+00
4.400000000000000000e+02,1.089725142999999896e+00
4.200000000000000000e+02,1.095509188000000078e+00
4.000000000000000000e+02,1.103231823000000000e+00
3.800000000000000000e+02,1.110650281999999933e+00
3.600000000000000000e+02,1.122149936999999875e+00
3.400000000000000000e+02,1.127729999999999899e+00
3.200000000000000000e+02,1.132699102999999985e+00
3.000000000000000000e+02,1.144133109999999842e+00
2.800000000000000000e+02,1.151729930999999985e+00
2.600000000000000000e+02,1.158105659000000065e+00
2.400000000000000000e+02,1.166233043000000080e+00
2.200000000000000000e+02,1.172990152999999980e+00
2.000000000000000000e+02,1.178745548999999837e+00
1.800000000000000000e+02,1.184367141000000068e+00
1.600000000000000000e+02,1.188763221999999953e+00
1.400000000000000000e+02,1.194557471999999843e+00
1.200000000000000000e+02,1.200192209999999982e+00
1.000000000000000000e+02,1.205703634999999885e+00
