T(K),density(g/cm^3)
6.000000000000000000e+02,9.817192029999999292e-01
5.800000000000000000e+02,9.952896985000001528e-01
5.600000000000000000e+02,1.019225587999999849e+00
5.400000000000000000e+02,1.026249138999999921e+00
5.200000000000000000e+02,1.040341452000000055e+00
5.000000000000000000e+02,1.055917192999999976e+00
4.800000000000000000e+02,1.075586265000000097e+00
4.600000000000000000e+02,1.078682997000000032e+00
4.400000000000000000e+02,1.080012769999999955e+00
4.200000000000000000e+02,1.099339926999999939e+00
4.000000000000000000e+02,1.103903014999999987e+00
3.800000000000000000e+02,1.105811161000000098e+00
3.600000000000000000e+02,1.114800353999999993e+00
3.400000000000000000e+02,1.122745415999999885e+00
3.200000000000000000e+02,1.124791316999999902e+00
3.000000000000000000e+02,1.129399350000000135e+00
2.800000000000000000e+02,1.137338147000000133e+00
2.600000000000000000e+02,1.142501410000000162e+00
2.400000000000000000e+02,1.146400378999999914e+00
2.200000000000000000e+02,1.148853153999999988e+00
2.000000000000000000e+02,1.155365986999999928e+00
