T(K),density(g/cm^3)
6.600000000000000000e+02,9.685551103000000772e-01
6.400000000000000000e+02,9.748039344999999134e-01
6.200000000000000000e+02,1.001644406899999895e+00
6.000000000000000000e+02,1.006041916600000086e+00
5.800000000000000000e+02,1.012927010300000097e+00
5.600000000000000000e+02,1.018244817499999844e+00
5.400000000000000000e+02,1.021053643999999982e+00
5.200000000000000000e+02,1.034512864999999948e+00
5.000000000000000000e+02,1.054995743000000097e+00
4.800000000000000000e+02,1.050554632999999960e+00
4.600000000000000000e+02,1.057539257000000177e+00
4.400000000000000000e+02,1.061310436000000079e+00
4.200000000000000000e+02,1.067156677000000053e+00
4.000000000000000000e+02,1.072610300000000016e+00
3.800000000000000000e+02,1.078753661000000141e+00
3.600000000000000000e+02,1.088358450999999949e+00
3.400000000000000000e+02,1.092852294999999918e+00
3.200000000000000000e+02,1.098943073000000048e+00
3.000000000000000000e+02,1.105956839000000080e+00
2.800000000000000000e+02,1.109670061999999957e+00
2.600000000000000000e+02,1.113500921000000199e+00
2.400000000000000000e+02,1.119392874000000093e+00
