T(K),density(g/cm^3)
6.000000000000000000e+02,9.558772912000000899e-01
5.800000000000000000e+02,9.552782623000000140e-01
5.600000000000000000e+02,9.923377249000000511e-01
5.400000000000000000e+02,1.012041233000000151e+00
5.200000000000000000e+02,1.022606427000000151e+00
5.000000000000000000e+02,1.042816557000000088e+00
4.800000000000000000e+02,1.041477645999999924e+00
4.600000000000000000e+02,1.066218443000000127e+00
4.400000000000000000e+02,1.078317438000000017e+00
4.200000000000000000e+02,1.089326904999999845e+00
4.000000000000000000e+02,1.088706700000000138e+00
3.800000000000000000e+02,1.101219873000000238e+00
3.600000000000000000e+02,1.119113438000000071e+00
3.400000000000000000e+02,1.122575678999999882e+00
3.200000000000000000e+02,1.128315868000000055e+00
3.000000000000000000e+02,1.141602310999999981e+00
2.800000000000000000e+02,1.147644818999999927e+00
2.600000000000000000e+02,1.154178838999999845e+00
2.400000000000000000e+02,1.165030729000000154e+00
2.200000000000000000e+02,1.167885223999999944e+00
2.000000000000000000e+02,1.172342180000000011e+00
