T(K),density(g/cm^3)
7.000000000000000000e+02,8.145244360999999156e-01
6.800000000000000000e+02,8.242481877999999762e-01
6.600000000000000000e+02,8.388571026000001263e-01
6.400000000000000000e+02,8.409962187999999728e-01
6.200000000000000000e+02,8.726107377999998693e-01
6.000000000000000000e+02,8.841536116000000556e-01
5.800000000000000000e+02,8.947041663000000478e-01
5.600000000000000000e+02,9.147165593999999622e-01
5.400000000000000000e+02,9.205479157000000523e-01
5.200000000000000000e+02,9.386764765999999760e-01
5.000000000000000000e+02,9.453945616000000163e-01
4.800000000000000000e+02,9.689375246000000441e-01
4.600000000000000000e+02,9.788012965999999260e-01
4.400000000000000000e+02,9.998721826000001034e-01
4.200000000000000000e+02,1.015006411500000150e+00
4.000000000000000000e+02,1.028594269000000061e+00
3.800000000000000000e+02,1.037995532000000054e+00
3.600000000000000000e+02,1.057821053000000067e+00
3.400000000000000000e+02,1.065833610000000098e+00
3.200000000000000000e+02,1.073166274999999947e+00
3.000000000000000000e+02,1.083797584000000036e+00
2.800000000000000000e+02,1.096751593000000025e+00
2.600000000000000000e+02,1.107967717999999824e+00
2.400000000000000000e+02,1.115575417000000069e+00
2.200000000000000000e+02,1.125621675000000099e+00
2.000000000000000000e+02,1.135068729999999970e+00
1.800000000000000000e+02,1.143095046000000004e+00
1.600000000000000000e+02,1.152204902000000031e+00
1.400000000000000000e+02,1.155958306999999907e+00
1.200000000000000000e+02,1.167079591999999888e+00
1.000000000000000000e+02,1.173218710999999859e+00
