T(K),density(g/cm^3)
7.000000000000000000e+02,1.080465163000000173e+00
6.800000000000000000e+02,1.080615504999999921e+00
6.600000000000000000e+02,1.096911635999999968e+00
6.400000000000000000e+02,1.100869402000000052e+00
6.200000000000000000e+02,1.117106174999999979e+00
6.000000000000000000e+02,1.129393697000000030e+00
5.800000000000000000e+02,1.127118827999999962e+00
5.600000000000000000e+02,1.139282442999999923e+00
5.400000000000000000e+02,1.150606397999999864e+00
5.200000000000000000e+02,1.153485285999999999e+00
5.000000000000000000e+02,1.157384473000000025e+00
4.800000000000000000e+02,1.162559496999999942e+00
4.600000000000000000e+02,1.171930184000000041e+00
4.400000000000000000e+02,1.176979333000000016e+00
4.200000000000000000e+02,1.182134806999999954e+00
4.000000000000000000e+02,1.187123098999999904e+00
3.800000000000000000e+02,1.192561307999999931e+00
3.600000000000000000e+02,1.196677403000000028e+00
3.400000000000000000e+02,1.201873109000000106e+00
3.200000000000000000e+02,1.209533930999999951e+00
3.000000000000000000e+02,1.215812895999999865e+00
2.800000000000000000e+02,1.221392586999999974e+00
2.600000000000000000e+02,1.225791174000000039e+00
2.400000000000000000e+02,1.230839212000000016e+00
2.200000000000000000e+02,1.235792943999999949e+00
2.000000000000000000e+02,1.239428788999999975e+00
1.800000000000000000e+02,1.244302360999999912e+00
1.600000000000000000e+02,1.248906827999999969e+00
1.400000000000000000e+02,1.252470635999999971e+00
1.200000000000000000e+02,1.255904035000000141e+00
1.000000000000000000e+02,1.261142686999999984e+00
