T(K),density(g/cm^3)
5.600000000000000000e+02,1.050948508000000059e+00
5.400000000000000000e+02,1.066352543000000042e+00
5.200000000000000000e+02,1.083163536999999899e+00
5.000000000000000000e+02,1.094562797999999892e+00
4.800000000000000000e+02,1.118551434999999872e+00
4.600000000000000000e+02,1.133911424999999973e+00
4.400000000000000000e+02,1.146391552000000091e+00
4.200000000000000000e+02,1.149439831000000023e+00
4.000000000000000000e+02,1.173665453000000136e+00
3.800000000000000000e+02,1.184115105999999917e+00
3.600000000000000000e+02,1.197608188000000018e+00
3.400000000000000000e+02,1.205792504000000154e+00
3.200000000000000000e+02,1.218439232000000150e+00
3.000000000000000000e+02,1.229824985000000037e+00
2.800000000000000000e+02,1.235579799000000145e+00
2.600000000000000000e+02,1.247612326999999910e+00
2.400000000000000000e+02,1.257481665000000026e+00
2.200000000000000000e+02,1.263860889999999904e+00
2.000000000000000000e+02,1.270108003000000041e+00
1.800000000000000000e+02,1.281558822000000042e+00
1.600000000000000000e+02,1.288688386000000019e+00
1.400000000000000000e+02,1.298326701999999999e+00
