T(K),density(g/cm^3)
5.600000000000000000e+02,1.127416232000000074e+00
5.400000000000000000e+02,1.135101416000000141e+00
5.200000000000000000e+02,1.155695640000000024e+00
5.000000000000000000e+02,1.161573277000000015e+00
4.800000000000000000e+02,1.178625242999999934e+00
4.600000000000000000e+02,1.185955813000000081e+00
4.400000000000000000e+02,1.194621222999999954e+00
4.200000000000000000e+02,1.199576616999999956e+00
4.000000000000000000e+02,1.203934560999999848e+00
3.800000000000000000e+02,1.215042890000000098e+00
3.600000000000000000e+02,1.221529494000000104e+00
3.400000000000000000e+02,1.230790422999999967e+00
3.200000000000000000e+02,1.236407644000000028e+00
3.000000000000000000e+02,1.242934466999999987e+00
2.800000000000000000e+02,1.247114516999999978e+00
2.600000000000000000e+02,1.255633121000000019e+00
2.400000000000000000e+02,1.260084089000000018e+00
2.200000000000000000e+02,1.266644637999999823e+00
2.000000000000000000e+02,1.275377887999999960e+00
1.800000000000000000e+02,1.280562323000000058e+00
1.600000000000000000e+02,1.285427760000000141e+00
1.400000000000000000e+02,1.291891534000000119e+00
