T(K),density(g/cm^3)
7.000000000000000000e+02,1.044474491999999977e+00
6.800000000000000000e+02,1.063147983000000130e+00
6.600000000000000000e+02,1.073816805999999957e+00
6.400000000000000000e+02,1.079747381000000006e+00
6.200000000000000000e+02,1.101838333999999975e+00
6.000000000000000000e+02,1.115067130999999989e+00
5.800000000000000000e+02,1.127166689999999916e+00
5.600000000000000000e+02,1.130007297999999771e+00
5.400000000000000000e+02,1.142263905999999940e+00
5.200000000000000000e+02,1.155421173999999995e+00
5.000000000000000000e+02,1.166874790000000051e+00
4.800000000000000000e+02,1.172844101999999999e+00
4.600000000000000000e+02,1.174367281999999957e+00
4.400000000000000000e+02,1.190997769999999845e+00
4.200000000000000000e+02,1.199305233999999887e+00
4.000000000000000000e+02,1.208892877999999893e+00
3.800000000000000000e+02,1.213627545000000030e+00
3.600000000000000000e+02,1.216982655999999885e+00
3.400000000000000000e+02,1.223175985000000132e+00
3.200000000000000000e+02,1.229359663999999963e+00
3.000000000000000000e+02,1.235105351999999934e+00
2.800000000000000000e+02,1.237706092000000035e+00
2.600000000000000000e+02,1.240275950000000016e+00
2.400000000000000000e+02,1.248185306999999966e+00
2.200000000000000000e+02,1.251636385999999934e+00
2.000000000000000000e+02,1.256385261999999781e+00
1.800000000000000000e+02,1.260179461999999972e+00
1.600000000000000000e+02,1.264104735000000090e+00
1.400000000000000000e+02,1.268838276999999959e+00
1.200000000000000000e+02,1.272603345000000052e+00
1.000000000000000000e+02,1.276398359999999954e+00
