T(K),density(g/cm^3)
7.000000000000000000e+02,9.041248906999999058e-01
6.800000000000000000e+02,9.220256811000000496e-01
6.600000000000000000e+02,9.352728932999998523e-01
6.400000000000000000e+02,9.458497195999998608e-01
6.200000000000000000e+02,9.597028589999999637e-01
6.000000000000000000e+02,9.788864123999999611e-01
5.800000000000000000e+02,9.826293271000000606e-01
5.600000000000000000e+02,9.983503247999999664e-01
5.400000000000000000e+02,1.013984910400000050e+00
5.200000000000000000e+02,1.026300988000000025e+00
5.000000000000000000e+02,1.039096389000000009e+00
4.800000000000000000e+02,1.056568999999999869e+00
4.600000000000000000e+02,1.059793627999999988e+00
4.400000000000000000e+02,1.079353025000000077e+00
4.200000000000000000e+02,1.093128035000000109e+00
4.000000000000000000e+02,1.105762946999999885e+00
3.800000000000000000e+02,1.113412724000000020e+00
3.600000000000000000e+02,1.124035748999999917e+00
3.400000000000000000e+02,1.127034965999999860e+00
3.200000000000000000e+02,1.137459497000000042e+00
3.000000000000000000e+02,1.150812975000000016e+00
2.800000000000000000e+02,1.157518225999999872e+00
2.600000000000000000e+02,1.166603059000000053e+00
2.400000000000000000e+02,1.175122369000000111e+00
2.200000000000000000e+02,1.182757505000000098e+00
2.000000000000000000e+02,1.191027634000000113e+00
1.800000000000000000e+02,1.194696673000000153e+00
1.600000000000000000e+02,1.201299090000000014e+00
1.400000000000000000e+02,1.207568467000000201e+00
1.200000000000000000e+02,1.213454881000000096e+00
1.000000000000000000e+02,1.219460647000000009e+00
