T(K),density(g/cm^3)
7.000000000000000000e+02,9.132686304000000588e-01
6.800000000000000000e+02,9.638646725000000748e-01
6.600000000000000000e+02,9.645006803000000239e-01
6.400000000000000000e+02,9.680464480000000593e-01
6.200000000000000000e+02,9.778353288000001253e-01
6.000000000000000000e+02,9.980922322000000957e-01
5.800000000000000000e+02,1.014046148200000053e+00
5.600000000000000000e+02,1.027553552000000092e+00
5.400000000000000000e+02,1.037226232000000081e+00
5.200000000000000000e+02,1.044830618999999849e+00
5.000000000000000000e+02,1.050696912000000038e+00
4.800000000000000000e+02,1.053412076999999947e+00
4.600000000000000000e+02,1.068319339999999951e+00
4.400000000000000000e+02,1.072973960999999976e+00
4.200000000000000000e+02,1.076722058000000093e+00
4.000000000000000000e+02,1.083569256999999952e+00
3.800000000000000000e+02,1.085593093000000176e+00
3.600000000000000000e+02,1.091399074999999996e+00
3.400000000000000000e+02,1.097179448999999973e+00
3.200000000000000000e+02,1.102284916000000115e+00
3.000000000000000000e+02,1.106980120000000012e+00
2.800000000000000000e+02,1.111361496000000004e+00
2.600000000000000000e+02,1.116130014000000115e+00
2.400000000000000000e+02,1.120280296000000009e+00
2.200000000000000000e+02,1.124940443000000068e+00
2.000000000000000000e+02,1.127932094999999801e+00
1.800000000000000000e+02,1.134064888000000160e+00
1.600000000000000000e+02,1.137551590000000168e+00
1.400000000000000000e+02,1.141037413000000056e+00
1.200000000000000000e+02,1.146736683000000090e+00
1.000000000000000000e+02,1.151049218999999901e+00
