T(K),density(g/cm^3)
7.000000000000000000e+02,9.800636848000000567e-01
6.800000000000000000e+02,1.004072841299999963e+00
6.600000000000000000e+02,1.018029176400000013e+00
6.400000000000000000e+02,1.041991020999999851e+00
6.200000000000000000e+02,1.032766036399999976e+00
6.000000000000000000e+02,1.054524683999999990e+00
5.800000000000000000e+02,1.080978953000000020e+00
5.600000000000000000e+02,1.094402418000000043e+00
5.400000000000000000e+02,1.095487807000000036e+00
5.200000000000000000e+02,1.121200689000000139e+00
5.000000000000000000e+02,1.131831063999999998e+00
4.800000000000000000e+02,1.139869628000000024e+00
4.600000000000000000e+02,1.153673169000000165e+00
4.400000000000000000e+02,1.157992684000000105e+00
4.200000000000000000e+02,1.164800755999999993e+00
4.000000000000000000e+02,1.170114383000000036e+00
3.800000000000000000e+02,1.176026355999999939e+00
3.600000000000000000e+02,1.184311255999999979e+00
3.400000000000000000e+02,1.189482413999999988e+00
3.200000000000000000e+02,1.194428476000000128e+00
3.000000000000000000e+02,1.201059097999999992e+00
2.800000000000000000e+02,1.205617079000000036e+00
2.600000000000000000e+02,1.210245690000000041e+00
2.400000000000000000e+02,1.213324324000000010e+00
2.200000000000000000e+02,1.219011794000000037e+00
2.000000000000000000e+02,1.222119769999999939e+00
1.800000000000000000e+02,1.227369007000000067e+00
1.600000000000000000e+02,1.230882650000000078e+00
1.400000000000000000e+02,1.236134121000000086e+00
1.200000000000000000e+02,1.241054550999999950e+00
1.000000000000000000e+02,1.246553475999999883e+00
