T(K),density(g/cm^3)
7.000000000000000000e+02,9.437739254999999439e-01
6.800000000000000000e+02,9.476576810999999267e-01
6.600000000000000000e+02,9.745038677999999788e-01
6.400000000000000000e+02,9.728691089999998987e-01
6.200000000000000000e+02,9.990520949000000206e-01
6.000000000000000000e+02,9.996252268999999968e-01
5.800000000000000000e+02,1.004955863500000213e+00
5.600000000000000000e+02,1.023743668100000059e+00
5.400000000000000000e+02,1.037764061999999932e+00
5.200000000000000000e+02,1.041924502999999946e+00
5.000000000000000000e+02,1.047519359000000039e+00
4.800000000000000000e+02,1.059584212999999941e+00
4.600000000000000000e+02,1.062432696999999981e+00
4.400000000000000000e+02,1.067480095000000073e+00
4.200000000000000000e+02,1.087346281999999942e+00
4.000000000000000000e+02,1.090549677000000051e+00
3.800000000000000000e+02,1.094415200000000032e+00
3.600000000000000000e+02,1.100988732000000025e+00
3.400000000000000000e+02,1.107268289000000072e+00
3.200000000000000000e+02,1.112832049000000101e+00
3.000000000000000000e+02,1.117148759999999852e+00
2.800000000000000000e+02,1.124177771000000048e+00
2.600000000000000000e+02,1.134526398999999852e+00
2.400000000000000000e+02,1.132141926000000076e+00
2.200000000000000000e+02,1.142959948999999975e+00
2.000000000000000000e+02,1.146336114000000128e+00
1.800000000000000000e+02,1.152957269999999923e+00
1.600000000000000000e+02,1.158186390000000010e+00
1.400000000000000000e+02,1.162784720999999966e+00
1.200000000000000000e+02,1.166316353999999889e+00
1.000000000000000000e+02,1.170833009999999952e+00
