T(K),density(g/cm^3)
7.000000000000000000e+02,1.103508026000000086e+00
6.800000000000000000e+02,1.128853938999999862e+00
6.600000000000000000e+02,1.126027694000000023e+00
6.400000000000000000e+02,1.150730854999999941e+00
6.200000000000000000e+02,1.176139690000000071e+00
6.000000000000000000e+02,1.179498964999999844e+00
5.800000000000000000e+02,1.200894233000000089e+00
5.600000000000000000e+02,1.210616703999999988e+00
5.400000000000000000e+02,1.221243362000000054e+00
5.200000000000000000e+02,1.231950443999999978e+00
5.000000000000000000e+02,1.244763803999999974e+00
4.800000000000000000e+02,1.251682842000000129e+00
4.600000000000000000e+02,1.260818895999999967e+00
4.400000000000000000e+02,1.262602694999999997e+00
4.200000000000000000e+02,1.275145367000000141e+00
4.000000000000000000e+02,1.282439990000000085e+00
3.800000000000000000e+02,1.290454028000000086e+00
3.600000000000000000e+02,1.294838222999999955e+00
3.400000000000000000e+02,1.300409953999999813e+00
3.200000000000000000e+02,1.307797842999999904e+00
3.000000000000000000e+02,1.312291969000000114e+00
2.800000000000000000e+02,1.318211557000000145e+00
2.600000000000000000e+02,1.324177360000000192e+00
2.400000000000000000e+02,1.331934475999999812e+00
2.200000000000000000e+02,1.336878451999999884e+00
2.000000000000000000e+02,1.341697500999999848e+00
1.800000000000000000e+02,1.345908345000000006e+00
1.600000000000000000e+02,1.351817330000000039e+00
1.400000000000000000e+02,1.357704538000000127e+00
1.200000000000000000e+02,1.362985603999999906e+00
1.000000000000000000e+02,1.365088158000000051e+00
