T(K),density(g/cm^3)
7.000000000000000000e+02,1.083494718999999940e+00
6.800000000000000000e+02,1.105374611999999868e+00
6.600000000000000000e+02,1.109031818000000058e+00
6.400000000000000000e+02,1.133090782999999879e+00
6.200000000000000000e+02,1.138224268999999955e+00
6.000000000000000000e+02,1.150900897999999950e+00
5.800000000000000000e+02,1.154158102999999880e+00
5.600000000000000000e+02,1.177712327999999919e+00
5.400000000000000000e+02,1.181396188000000125e+00
5.200000000000000000e+02,1.190619509999999881e+00
5.000000000000000000e+02,1.193977406000000130e+00
4.800000000000000000e+02,1.194540467000000161e+00
4.600000000000000000e+02,1.212716444000000005e+00
4.400000000000000000e+02,1.220748742000000053e+00
4.200000000000000000e+02,1.222759031999999912e+00
4.000000000000000000e+02,1.229663398000000019e+00
3.800000000000000000e+02,1.234296586000000140e+00
3.600000000000000000e+02,1.246357143000000001e+00
3.400000000000000000e+02,1.247914601000000179e+00
3.200000000000000000e+02,1.253976520000000150e+00
3.000000000000000000e+02,1.259874367999999967e+00
2.800000000000000000e+02,1.259469578000000034e+00
2.600000000000000000e+02,1.267835408000000053e+00
2.400000000000000000e+02,1.269943905999999956e+00
2.200000000000000000e+02,1.275983208000000202e+00
2.000000000000000000e+02,1.279448710000000045e+00
1.800000000000000000e+02,1.282864649999999829e+00
1.600000000000000000e+02,1.285949678000000151e+00
1.400000000000000000e+02,1.290895361999999880e+00
1.200000000000000000e+02,1.293517644000000022e+00
1.000000000000000000e+02,1.296243202000000094e+00
