T(K),density(g/cm^3)
7.000000000000000000e+02,8.725163510000000233e-01
6.800000000000000000e+02,8.798467980999998828e-01
6.600000000000000000e+02,9.004561774999999546e-01
6.400000000000000000e+02,9.069679310000000605e-01
6.200000000000000000e+02,9.288647531000000512e-01
6.000000000000000000e+02,9.417150829999999528e-01
5.800000000000000000e+02,9.606126238999999067e-01
5.600000000000000000e+02,9.676222246000000249e-01
5.400000000000000000e+02,9.907834716000000208e-01
5.200000000000000000e+02,1.002379738699999967e+00
5.000000000000000000e+02,1.016192398599999880e+00
4.800000000000000000e+02,1.025529268999999966e+00
4.600000000000000000e+02,1.040151443000000064e+00
4.400000000000000000e+02,1.056926746000000028e+00
4.200000000000000000e+02,1.069013311999999827e+00
4.000000000000000000e+02,1.077649725999999974e+00
3.800000000000000000e+02,1.081747825999999968e+00
3.600000000000000000e+02,1.091216664000000058e+00
3.400000000000000000e+02,1.099424736000000014e+00
3.200000000000000000e+02,1.105052648000000026e+00
3.000000000000000000e+02,1.112683591000000138e+00
2.800000000000000000e+02,1.117284672999999895e+00
2.600000000000000000e+02,1.123916856999999991e+00
2.400000000000000000e+02,1.128652443000000005e+00
2.200000000000000000e+02,1.135521082999999987e+00
2.000000000000000000e+02,1.141953744999999909e+00
1.800000000000000000e+02,1.145969294000000138e+00
1.600000000000000000e+02,1.150385723000000082e+00
1.400000000000000000e+02,1.153650288999999995e+00
1.200000000000000000e+02,1.159125663000000195e+00
1.000000000000000000e+02,1.163642523999999900e+00
