T(K),density(g/cm^3)
7.000000000000000000e+02,9.119202631000000725e-01
6.800000000000000000e+02,9.374665481000000744e-01
6.600000000000000000e+02,9.454085842000000683e-01
6.400000000000000000e+02,9.629844481999999539e-01
6.200000000000000000e+02,9.793179997999998943e-01
6.000000000000000000e+02,9.938660740000000438e-01
5.800000000000000000e+02,1.012839191700000141e+00
5.600000000000000000e+02,1.025003228999999960e+00
5.400000000000000000e+02,1.030752380000000024e+00
5.200000000000000000e+02,1.049840391000000039e+00
5.000000000000000000e+02,1.056809371000000164e+00
4.800000000000000000e+02,1.073151520999999997e+00
4.600000000000000000e+02,1.090800250000000027e+00
4.400000000000000000e+02,1.098570966000000038e+00
4.200000000000000000e+02,1.117419785000000054e+00
4.000000000000000000e+02,1.121147168000000027e+00
3.800000000000000000e+02,1.131237392000000064e+00
3.600000000000000000e+02,1.136755364999999962e+00
3.400000000000000000e+02,1.144818811000000158e+00
3.200000000000000000e+02,1.150339545000000019e+00
3.000000000000000000e+02,1.158166165000000136e+00
2.800000000000000000e+02,1.167061617000000107e+00
2.600000000000000000e+02,1.173119660999999869e+00
2.400000000000000000e+02,1.179299898000000013e+00
2.200000000000000000e+02,1.185248663000000091e+00
2.000000000000000000e+02,1.188735132000000139e+00
1.800000000000000000e+02,1.193866505999999994e+00
1.600000000000000000e+02,1.197659162999999971e+00
1.400000000000000000e+02,1.201627838000000059e+00
1.200000000000000000e+02,1.206832130000000003e+00
1.000000000000000000e+02,1.211560479999999940e+00
