T(K),density(g/cm^3)
7.000000000000000000e+02,1.104424590000000039e+00
6.800000000000000000e+02,1.125309479000000001e+00
6.600000000000000000e+02,1.136913915000000053e+00
6.400000000000000000e+02,1.135228351999999941e+00
6.200000000000000000e+02,1.159771410999999919e+00
6.000000000000000000e+02,1.178762043999999953e+00
5.800000000000000000e+02,1.181998004999999852e+00
5.600000000000000000e+02,1.187176588000000033e+00
5.400000000000000000e+02,1.196797909000000049e+00
5.200000000000000000e+02,1.192298682999999970e+00
5.000000000000000000e+02,1.203047197999999929e+00
4.800000000000000000e+02,1.219459340000000003e+00
4.600000000000000000e+02,1.224751476000000006e+00
4.400000000000000000e+02,1.233336725000000023e+00
4.200000000000000000e+02,1.237890767999999975e+00
4.000000000000000000e+02,1.244416344999999868e+00
3.800000000000000000e+02,1.247373370000000037e+00
3.600000000000000000e+02,1.252671284000000052e+00
3.400000000000000000e+02,1.256027816000000019e+00
3.200000000000000000e+02,1.262423673000000024e+00
3.000000000000000000e+02,1.265813007999999851e+00
2.800000000000000000e+02,1.270419052000000049e+00
2.600000000000000000e+02,1.275365797000000079e+00
2.400000000000000000e+02,1.277416158000000079e+00
2.200000000000000000e+02,1.282823123999999870e+00
2.000000000000000000e+02,1.284893311000000260e+00
1.800000000000000000e+02,1.288484984000000111e+00
1.600000000000000000e+02,1.291313201999999993e+00
1.400000000000000000e+02,1.295254325999999789e+00
1.200000000000000000e+02,1.298420884000000219e+00
1.000000000000000000e+02,1.301901938000000092e+00
