T(K),density(g/cm^3)
7.000000000000000000e+02,9.983029809000000254e-01
6.800000000000000000e+02,1.003228445199999985e+00
6.600000000000000000e+02,1.036353830000000142e+00
6.400000000000000000e+02,1.040881568000000090e+00
6.200000000000000000e+02,1.047039672000000143e+00
6.000000000000000000e+02,1.079724076999999838e+00
5.800000000000000000e+02,1.094363957999999970e+00
5.600000000000000000e+02,1.106228364999999991e+00
5.400000000000000000e+02,1.113893840000000024e+00
5.200000000000000000e+02,1.127670267000000059e+00
5.000000000000000000e+02,1.154102481999999874e+00
4.800000000000000000e+02,1.175962337000000080e+00
4.600000000000000000e+02,1.171832860999999948e+00
4.400000000000000000e+02,1.187524053999999829e+00
4.200000000000000000e+02,1.193720837999999951e+00
4.000000000000000000e+02,1.206603850000000033e+00
3.800000000000000000e+02,1.219538111999999952e+00
3.600000000000000000e+02,1.232180653999999986e+00
3.400000000000000000e+02,1.239821027000000075e+00
3.200000000000000000e+02,1.245843083999999878e+00
3.000000000000000000e+02,1.257198727000000016e+00
2.800000000000000000e+02,1.267623130999999903e+00
2.600000000000000000e+02,1.278222785999999944e+00
2.400000000000000000e+02,1.283659549999999872e+00
2.200000000000000000e+02,1.294609949999999898e+00
2.000000000000000000e+02,1.303143077000000094e+00
1.800000000000000000e+02,1.308568422999999870e+00
1.600000000000000000e+02,1.317471240000000154e+00
1.400000000000000000e+02,1.324365551999999946e+00
1.200000000000000000e+02,1.330283378999999933e+00
1.000000000000000000e+02,1.335673126000000099e+00
