T(K),density(g/cm^3)
7.000000000000000000e+02,8.761270756000000270e-01
6.800000000000000000e+02,9.003895809999999944e-01
6.600000000000000000e+02,9.098760692999999788e-01
6.400000000000000000e+02,9.304483602999999992e-01
6.200000000000000000e+02,9.597574855999999599e-01
6.000000000000000000e+02,9.595769685999999687e-01
5.800000000000000000e+02,9.864793177000001911e-01
5.600000000000000000e+02,9.901149941000000343e-01
5.400000000000000000e+02,1.012687152900000109e+00
5.200000000000000000e+02,1.015039999100000090e+00
5.000000000000000000e+02,1.025759856999999942e+00
4.800000000000000000e+02,1.043277059000000007e+00
4.600000000000000000e+02,1.060609533000000049e+00
4.400000000000000000e+02,1.069729935999999881e+00
4.200000000000000000e+02,1.080142398000000004e+00
4.000000000000000000e+02,1.094753338000000076e+00
3.800000000000000000e+02,1.107981772000000031e+00
3.600000000000000000e+02,1.114707625000000091e+00
3.400000000000000000e+02,1.129637419999999892e+00
3.200000000000000000e+02,1.136980281999999898e+00
3.000000000000000000e+02,1.147241898999999954e+00
2.800000000000000000e+02,1.157601515999999942e+00
2.600000000000000000e+02,1.161052091000000175e+00
2.400000000000000000e+02,1.172660615000000073e+00
2.200000000000000000e+02,1.177096483000000138e+00
2.000000000000000000e+02,1.184326173000000093e+00
1.800000000000000000e+02,1.194006694999999896e+00
1.600000000000000000e+02,1.199315327999999958e+00
1.400000000000000000e+02,1.206279993999999967e+00
1.200000000000000000e+02,1.212851796999999898e+00
1.000000000000000000e+02,1.216979489000000081e+00
