T(K),density(g/cm^3)
7.000000000000000000e+02,1.050835908000000041e+00
6.800000000000000000e+02,1.075572202000000033e+00
6.600000000000000000e+02,1.087369428999999998e+00
6.400000000000000000e+02,1.093505246000000097e+00
6.200000000000000000e+02,1.097230948999999844e+00
6.000000000000000000e+02,1.108286823000000032e+00
5.800000000000000000e+02,1.130552827999999899e+00
5.600000000000000000e+02,1.131400818000000141e+00
5.400000000000000000e+02,1.140832644000000062e+00
5.200000000000000000e+02,1.156872345000000024e+00
5.000000000000000000e+02,1.164002380000000114e+00
4.800000000000000000e+02,1.176109894999999961e+00
4.600000000000000000e+02,1.179880210000000096e+00
4.400000000000000000e+02,1.192571379000000098e+00
4.200000000000000000e+02,1.193871955999999956e+00
4.000000000000000000e+02,1.203726641000000042e+00
3.800000000000000000e+02,1.215141363000000085e+00
3.600000000000000000e+02,1.224730232999999835e+00
3.400000000000000000e+02,1.232164542000000029e+00
3.200000000000000000e+02,1.237425749000000019e+00
3.000000000000000000e+02,1.243428214000000143e+00
2.800000000000000000e+02,1.248312862999999995e+00
2.600000000000000000e+02,1.255653464000000108e+00
2.400000000000000000e+02,1.261782331000000035e+00
2.200000000000000000e+02,1.267824225000000027e+00
2.000000000000000000e+02,1.272094721999999845e+00
1.800000000000000000e+02,1.277694802999999935e+00
1.600000000000000000e+02,1.284501604000000130e+00
1.400000000000000000e+02,1.290859759999999801e+00
1.200000000000000000e+02,1.295411990000000069e+00
1.000000000000000000e+02,1.299680294000000069e+00
