bin,range,n,mean_similarity,mae,rmse,r2
overall,all valid,2370,0.3918061776383094,90.54434456483222,108.9165896034061,-2.0586454663123304
high,Tanimoto >= 0.8,2,0.9594594594594594,125.63519287109375,163.25195743671514,-3.7379913967856107
medium,0.5 <= Tanimoto < 0.8,249,0.558403796814114,88.82938191976892,108.80139507223532,-1.9927904871259852
low,Tanimoto < 0.5,2119,0.3716938068320717,90.7127466422311,108.86603099536055,-2.069594517624852
