Test id,Δ /K,relative deviation %,delta_group,MD Tg /K,Multimodal Prediction  Tg /K,Unimodal Prediction Tg /K,graph_mean,graph_model_uncertainty_k,multi_mean,multi_model_uncertainty_k,md_tg_from_curve_k,md_window_uncertainty_k,graph_abs_error_k,multi_abs_error_k,branch_delta_k,abs_graph_multi_ensemble_delta_k,successful_candidate
15,0.002,9.527577499,low_delta,407.1,368.313232,368.3110046,390.8295166015625,10.755522696587972,362.0460540771484,15.087675868213047,407.073061,1.878444,16.270483398437534,45.0539459228516,0.002,28.783462524414062,True
8,0.101,5.760672099,low_delta,411.1,387.417877,387.3169556,378.78419494628906,7.254949908839088,381.9057678222656,4.362368731107712,411.116368,8.93146,32.31580505371096,29.19423217773442,0.101,3.12157287597654,True
21,0.134,4.751652191,low_delta,499.7,475.955994,475.8215027,455.2176452636719,26.40533117190912,425.99583435058594,7.771785847548449,499.700842,6.316042,44.48235473632809,73.70416564941405,0.134,29.22181091308596,True
7,1.733,5.762147144,low_delta,413.2,389.390808,387.6582642,391.42967529296874,20.748279979985387,404.4318450927734,9.997751602465282,413.234716,5.500522,21.77032470703125,8.768154907226574,1.733,13.002169799804676,True
4,1.736,1.586048081,low_delta,463.8,456.443909,454.7076416,440.2800689697266,14.864352695179395,457.0087158203125,17.536656620243917,463.78353,7.990788,23.519931030273423,6.791284179687523,1.736,16.728646850585903,True
14,1.75,12.55198177,low_delta,389.4,340.522583,342.2723999,320.6334289550781,22.715321848757828,317.7707580566406,11.222666548648869,389.420546,10.8342,68.76657104492188,71.62924194335938,1.75,2.8626708984375,False
6,2.054,7.164661707,low_delta,430.1,399.28479,397.2309265,424.8231842041015,19.869533259803045,405.12061462402346,9.1117579431796,430.116367,4.746339,5.276815795898528,24.97938537597656,2.054,19.70256958007803,True
